sample_id,question_index,semantic_correct,graph_evidence_present,visual_evidence_missing,primary_cause,secondary_tags,note
conv-26,5,,,,temporal_reasoning_failure,,
conv-26,11,,,,tool_selection_or_path_failure,,
conv-26,26,,,,tool_selection_or_path_failure,,
conv-26,47,,,,multi_hop_composition_failure,,
conv-26,48,,,,multi_hop_composition_failure,,
conv-26,59,,,,answer_synthesis_failure,,
conv-26,71,,,,multi_hop_composition_failure,,
conv-30,3,,,,multi_hop_composition_failure,,
conv-30,9,,,,tool_selection_or_path_failure,,
conv-30,31,,,,tool_selection_or_path_failure,,
conv-41,8,,,,tool_selection_or_path_failure,,
conv-41,31,,,,tool_selection_or_path_failure,,
conv-41,41,,,,tool_selection_or_path_failure,,
conv-41,45,,,,tool_selection_or_path_failure,,
conv-41,47,,,,tool_selection_or_path_failure,,
conv-41,53,,,,execution_or_schema_failure,,
conv-42,0,,,,initial_key_extraction_failure,trace_missing,
conv-42,4,,,,tool_selection_or_path_failure,,
conv-42,12,,,,answer_synthesis_failure,,
conv-42,19,,,,multi_hop_composition_failure,,
conv-42,34,,,,multi_hop_composition_failure,,
conv-42,60,,,,tool_selection_or_path_failure,,
conv-42,66,,,,tool_selection_or_path_failure,,
conv-42,73,,,,tool_selection_or_path_failure,,
conv-42,87,,,,tool_selection_or_path_failure,,
conv-43,5,,,,tool_selection_or_path_failure,,
conv-43,8,,,,tool_selection_or_path_failure,,
conv-43,16,,,,temporal_reasoning_failure,,
conv-43,19,,,,answer_synthesis_failure,,
conv-43,29,,,,multi_hop_composition_failure,,
conv-43,36,,,,tool_selection_or_path_failure,,
conv-43,40,,,,tool_selection_or_path_failure,,
conv-43,49,,,,multi_hop_composition_failure,,
conv-43,51,,,,tool_selection_or_path_failure,,
conv-43,53,,,,tool_selection_or_path_failure,,
conv-43,55,,,,temporal_reasoning_failure,,
conv-43,66,,,,tool_selection_or_path_failure,,
conv-43,67,,,,execution_or_schema_failure,,
conv-43,70,,,,answer_synthesis_failure,,
conv-44,4,,,,temporal_reasoning_failure,relative_time_left_unresolved,
conv-44,5,,,,temporal_reasoning_failure,relative_time_left_unresolved,
conv-44,19,,,,tool_selection_or_path_failure,,
conv-44,20,,,,tool_selection_or_path_failure,,
conv-44,28,,,,execution_or_schema_failure,,
conv-44,33,,,,answer_synthesis_failure,,
conv-44,43,,,,tool_selection_or_path_failure,,
conv-44,44,,,,answer_synthesis_failure,,
conv-44,46,,,,tool_selection_or_path_failure,,
conv-44,48,,,,tool_selection_or_path_failure,,
conv-44,52,,,,answer_synthesis_failure,,
conv-44,55,,,,tool_selection_or_path_failure,,
conv-44,59,,,,tool_selection_or_path_failure,,
conv-47,0,,,,tool_selection_or_path_failure,,
conv-47,6,,,,tool_selection_or_path_failure,,
conv-47,8,,,,tool_selection_or_path_failure,,
conv-47,10,,,,temporal_reasoning_failure,relative_time_left_unresolved,
conv-47,15,,,,tool_selection_or_path_failure,,
conv-47,17,,,,tool_selection_or_path_failure,,
conv-47,19,,,,tool_selection_or_path_failure,,
conv-47,20,,,,tool_selection_or_path_failure,,
conv-47,31,,,,temporal_reasoning_failure,relative_time_left_unresolved,
conv-47,32,,,,tool_selection_or_path_failure,,
conv-47,33,,,,tool_selection_or_path_failure,,
conv-47,43,,,,temporal_reasoning_failure,,
conv-47,44,,,,tool_selection_or_path_failure,,
conv-47,51,,,,tool_selection_or_path_failure,,
conv-47,62,,,,tool_selection_or_path_failure,,
conv-48,1,,,,multi_hop_composition_failure,,
conv-48,20,,,,multi_hop_composition_failure,,
conv-48,23,,,,execution_or_schema_failure,,
conv-48,36,,,,tool_selection_or_path_failure,,
conv-48,45,,,,tool_selection_or_path_failure,,
conv-48,46,,,,tool_selection_or_path_failure,,
conv-48,48,,,,tool_selection_or_path_failure,,
conv-48,81,,,,tool_selection_or_path_failure,,
conv-48,86,,,,multi_hop_composition_failure,,
conv-48,88,,,,multi_hop_composition_failure,,
conv-48,115,,,,answer_synthesis_failure,,
conv-48,134,,,,tool_selection_or_path_failure,,
conv-48,188,,,,tool_selection_or_path_failure,,
conv-49,39,,,,tool_selection_or_path_failure,,
conv-49,49,,,,multi_hop_composition_failure,,
conv-49,102,,,,tool_selection_or_path_failure,,
conv-49,138,,,,tool_selection_or_path_failure,,
conv-50,11,,,,tool_selection_or_path_failure,,
conv-50,31,,,,tool_selection_or_path_failure,,
conv-50,80,,,,tool_selection_or_path_failure,,
conv-50,120,,,,tool_selection_or_path_failure,,
